datetime,symbol,open,high,low,close,volume
1994-02-22 09:30:00,NYSE:ALB,7.25,7.3125,7.25,7.25,20800.0
1994-02-23 09:30:00,NYSE:ALB,7.125,7.125,6.75,6.9375,31600.0
1994-02-24 09:30:00,NYSE:ALB,6.9375,6.9375,6.8125,6.8125,32000.0
1994-02-25 09:30:00,NYSE:ALB,6.6875,6.6875,6.25,6.4375,49800.0
1994-02-28 09:30:00,NYSE:ALB,6.5,6.75,6.4375,6.625,170400.0
1994-03-01 09:30:00,NYSE:ALB,6.625,6.625,6.5,6.5625,41600.0
1994-03-02 09:30:00,NYSE:ALB,6.4375,6.5625,6.4375,6.5625,67000.0
1994-03-03 09:30:00,NYSE:ALB,6.625,6.625,6.5,6.5,27800.0
1994-03-04 09:30:00,NYSE:ALB,6.5,6.75,6.4375,6.75,358200.0
1994-03-07 09:30:00,NYSE:ALB,6.4375,6.8125,6.4375,6.75,690800.0
1994-03-08 09:30:00,NYSE:ALB,6.75,6.8125,6.75,6.8125,515200.0
1994-03-09 09:30:00,NYSE:ALB,6.8125,6.875,6.8125,6.875,540400.0
1994-03-10 09:30:00,NYSE:ALB,6.875,6.875,6.8125,6.875,1832200.0
1994-03-11 09:30:00,NYSE:ALB,6.9375,7.1875,6.9375,7.1875,1895400.0
1994-03-14 10:30:00,NYSE:ALB,7.1875,7.625,7.1875,7.5625,1413800.0
1994-03-15 10:30:00,NYSE:ALB,7.5625,7.6875,7.4375,7.4375,1665200.0
1994-03-16 10:30:00,NYSE:ALB,7.4375,7.4375,7.3125,7.4375,717000.0
1994-03-17 10:30:00,NYSE:ALB,7.4375,7.6875,7.4375,7.5625,971200.0
1994-03-18 10:30:00,NYSE:ALB,7.625,7.6875,7.625,7.625,1178000.0
1994-03-21 10:30:00,NYSE:ALB,7.625,7.6875,7.625,7.6875,659400.0
1994-03-22 10:30:00,NYSE:ALB,7.6875,7.875,7.6875,7.8125,374000.0
1994-03-23 10:30:00,NYSE:ALB,7.8125,7.9375,7.75,7.875,430200.0
1994-03-24 10:30:00,NYSE:ALB,7.8125,7.875,7.75,7.75,747000.0
1994-03-25 10:30:00,NYSE:ALB,7.8125,7.8125,7.625,7.6875,370000.0
