datetime,symbol,open,high,low,close,volume
1998-08-18 09:30:00,NYSE:CCI,12.875,13.188,12.875,13.0,5783199.0
1998-08-19 09:30:00,NYSE:CCI,13.0625,13.3125,13.0,13.0625,388800.0
1998-08-20 09:30:00,NYSE:CCI,13.125,13.25,13.0,13.0,348600.0
1998-08-21 09:30:00,NYSE:CCI,13.0,13.0625,13.0,13.0,804100.0
1998-08-24 09:30:00,NYSE:CCI,13.0625,13.0625,13.0,13.0,119800.0
1998-08-25 09:30:00,NYSE:CCI,13.0,13.0625,12.875,13.0,294200.0
1998-08-26 09:30:00,NYSE:CCI,13.0,13.0,12.125,12.25,383900.0
1998-08-27 09:30:00,NYSE:CCI,12.25,12.4375,10.75,11.125,435400.0
1998-08-28 09:30:00,NYSE:CCI,11.375,11.375,10.0,10.0,192500.0
1998-08-31 09:30:00,NYSE:CCI,10.0,10.125,7.625,8.125,150900.0
1998-09-01 09:30:00,NYSE:CCI,8.25,9.0,6.6875,8.5,440700.0
1998-09-02 09:30:00,NYSE:CCI,8.5,10.5,8.5,9.5625,509200.0
1998-09-03 09:30:00,NYSE:CCI,9.75,9.75,8.5,8.75,165900.0
1998-09-04 09:30:00,NYSE:CCI,9.0,9.0,8.125,8.375,155700.0
1998-09-08 09:30:00,NYSE:CCI,9.0,10.0,8.75,9.875,149300.0
1998-09-09 09:30:00,NYSE:CCI,9.875,10.0,9.5,9.5,116900.0
1998-09-10 09:30:00,NYSE:CCI,9.375,9.375,9.0,9.25,80700.0
1998-09-11 09:30:00,NYSE:CCI,9.3125,9.375,9.0,9.0,84800.0
1998-09-14 09:30:00,NYSE:CCI,9.25,9.625,9.0,9.0,90800.0
1998-09-15 09:30:00,NYSE:CCI,9.125,9.25,8.625,8.75,200400.0
1998-09-16 09:30:00,NYSE:CCI,8.75,8.75,7.75,7.875,221300.0
1998-09-17 09:30:00,NYSE:CCI,7.875,8.625,7.875,8.281,87300.0
1998-09-18 09:30:00,NYSE:CCI,8.375,8.6875,7.75,8.25,147300.0
1998-09-21 09:30:00,NYSE:CCI,7.875,8.0,6.875,7.0,472900.0
1998-09-22 09:30:00,NYSE:CCI,7.125,8.125,7.0625,8.0,728300.0
