datetime,symbol,open,high,low,close,volume
2005-08-11 09:30:00,NYSE:CF,3.25,3.31,3.2,3.24,76671505.0
2005-08-12 09:30:00,NYSE:CF,3.25,3.6,3.25,3.585998,29138010.0
2005-08-15 09:30:00,NYSE:CF,3.55,3.570002,3.451998,3.46,10596500.0
2005-08-16 09:30:00,NYSE:CF,3.379998,3.46,3.379998,3.429998,5141000.0
2005-08-17 09:30:00,NYSE:CF,3.429998,3.44,3.36,3.370002,6423500.0
2005-08-18 09:30:00,NYSE:CF,3.39,3.396,3.25,3.270002,12727000.0
2005-08-19 09:30:00,NYSE:CF,3.298002,3.338,3.25,3.320002,3029500.0
2005-08-22 09:30:00,NYSE:CF,3.329998,3.404,3.282,3.4,2909500.0
2005-08-23 09:30:00,NYSE:CF,3.5,3.588,3.46,3.512,13466000.0
2005-08-24 09:30:00,NYSE:CF,3.5,3.55,3.466,3.5,3083000.0
2005-08-25 09:30:00,NYSE:CF,3.54,3.548002,3.479998,3.492002,4667000.0
2005-08-26 09:30:00,NYSE:CF,3.51,3.522,3.479998,3.494,2704000.0
2005-08-29 09:30:00,NYSE:CF,3.379998,3.435998,3.368,3.4,5458000.0
2005-08-30 09:30:00,NYSE:CF,3.422,3.478,3.39,3.406,2581000.0
2005-08-31 09:30:00,NYSE:CF,3.412,3.412,3.322,3.357998,3004500.0
2005-09-01 09:30:00,NYSE:CF,3.370002,3.370002,3.106,3.25,12477500.0
2005-09-02 09:30:00,NYSE:CF,3.282,3.316,3.201998,3.214002,5748500.0
2005-09-06 09:30:00,NYSE:CF,3.24,3.29,3.234,3.279998,2726500.0
2005-09-07 09:30:00,NYSE:CF,3.282,3.285998,3.204,3.238,3643500.0
2005-09-08 09:30:00,NYSE:CF,3.25,3.304,3.25,3.264002,2558500.0
2005-09-09 09:30:00,NYSE:CF,3.31,3.320002,3.284,3.314002,2468500.0
2005-09-12 09:30:00,NYSE:CF,3.29,3.304,3.201998,3.218,3300500.0
2005-09-13 09:30:00,NYSE:CF,3.224,3.224,3.14,3.176,3798500.0
