datetime,symbol,open,high,low,close,volume
2013-07-19 09:30:00,NYSE:DOC,11.5,11.67,11.5,11.5,1628232.0
2013-07-22 09:30:00,NYSE:DOC,11.55,11.74,11.53,11.62,299417.0
2013-07-23 09:30:00,NYSE:DOC,11.73,11.78,11.65,11.75,61867.0
2013-07-24 09:30:00,NYSE:DOC,11.7,11.8,11.62,11.65,28839.0
2013-07-25 09:30:00,NYSE:DOC,11.71,11.71,11.6,11.64,18482.0
2013-07-26 09:30:00,NYSE:DOC,11.67,11.68,11.5,11.5,120263.0
2013-07-29 09:30:00,NYSE:DOC,11.58,11.6,11.54,11.58,72377.0
2013-07-30 09:30:00,NYSE:DOC,11.61,11.61,11.52,11.53,29672.0
2013-07-31 09:30:00,NYSE:DOC,11.5301,11.55,11.5,11.5,97300.0
2013-08-01 09:30:00,NYSE:DOC,11.5,11.65,11.5,11.6,47190.0
2013-08-02 09:30:00,NYSE:DOC,11.6,11.6,11.55,11.55,56617.0
2013-08-05 09:30:00,NYSE:DOC,11.62,11.63,11.53,11.63,66948.0
2013-08-06 09:30:00,NYSE:DOC,11.52,11.61,11.23,11.6,35277.0
2013-08-07 09:30:00,NYSE:DOC,11.45,11.63,11.42,11.45,59197.0
2013-08-08 09:30:00,NYSE:DOC,11.63,11.65,11.57,11.6,47168.0
2013-08-09 09:30:00,NYSE:DOC,11.64,11.65,11.53,11.56,28456.0
2013-08-12 09:30:00,NYSE:DOC,11.55,11.65,11.4999,11.62,82482.0
2013-08-13 09:30:00,NYSE:DOC,11.63,11.75,11.63,11.67,75072.0
2013-08-14 09:30:00,NYSE:DOC,11.62,11.75,11.61,11.73,44685.0
2013-08-15 09:30:00,NYSE:DOC,11.61,11.85,11.44,11.79,106025.0
2013-08-16 09:30:00,NYSE:DOC,11.72,11.81,11.43,11.49,127961.0
2013-08-19 09:30:00,NYSE:DOC,11.53,11.5599,11.29,11.46,48724.0
2013-08-20 09:30:00,NYSE:DOC,11.43,11.66,11.43,11.5,22701.0
2013-08-21 09:30:00,NYSE:DOC,11.57,11.65,11.5,11.56,26378.0
2013-08-22 09:30:00,NYSE:DOC,11.53,11.6,11.35,11.51,21310.0
2013-08-23 09:30:00,NYSE:DOC,11.57,11.57,11.4,11.47,13326.0
2013-08-26 09:30:00,NYSE:DOC,11.49,11.5,11.34,11.36,21743.0
2013-08-27 09:30:00,NYSE:DOC,11.39,11.45,11.0,11.43,36870.0
2013-08-28 09:30:00,NYSE:DOC,11.45,11.55,11.45,11.5,25370.0
2013-08-29 09:30:00,NYSE:DOC,11.55,11.55,11.095,11.22,24437.0
2013-08-30 09:30:00,NYSE:DOC,11.25,11.3,11.05,11.26,44459.0
2013-09-03 09:30:00,NYSE:DOC,11.31,11.6,11.19,11.51,35970.0
2013-09-04 09:30:00,NYSE:DOC,11.6,11.69,11.46,11.64,18805.0
2013-09-05 09:30:00,NYSE:DOC,11.59,11.6,11.5,11.54,15718.0
2013-09-06 09:30:00,NYSE:DOC,11.69,11.69,11.44,11.49,9914.0
2013-09-09 09:30:00,NYSE:DOC,11.5,11.705,11.49,11.67,46979.0
2013-09-10 09:30:00,NYSE:DOC,11.72,11.72,11.51,11.69,37647.0
2013-09-11 09:30:00,NYSE:DOC,11.7,11.7,11.53,11.66,25095.0
2013-09-12 09:30:00,NYSE:DOC,11.65,11.7,11.56,11.67,65381.0
2013-09-13 09:30:00,NYSE:DOC,11.69,11.85,11.57,11.85,47535.0
2013-09-16 09:30:00,NYSE:DOC,11.85,12.0625,11.56,11.94,105045.0
2013-09-17 09:30:00,NYSE:DOC,11.9,12.39,11.9,12.22,84498.0
2013-09-18 09:30:00,NYSE:DOC,12.18,12.27,11.91,12.22,74119.0
2013-09-19 09:30:00,NYSE:DOC,12.36,12.36,12.05,12.27,81424.0
2013-09-20 09:30:00,NYSE:DOC,12.29,12.74,11.92,11.98,196124.0
2013-09-23 09:30:00,NYSE:DOC,12.05,12.25,11.9,12.02,121941.0
2013-09-24 09:30:00,NYSE:DOC,11.96,12.08,11.9,11.99,77433.0
2013-09-25 09:30:00,NYSE:DOC,12.0,12.3,11.9501,12.07,104300.0
2013-09-26 09:30:00,NYSE:DOC,12.17,12.4,11.99,12.1,144907.0
2013-09-27 09:30:00,NYSE:DOC,12.09,12.1,12.0,12.07,56017.0
2013-09-30 09:30:00,NYSE:DOC,12.05,12.58,11.8,12.12,672108.0
2013-10-01 09:30:00,NYSE:DOC,12.18,12.74,12.13,12.38,126283.0
2013-10-02 09:30:00,NYSE:DOC,12.58,12.74,12.33,12.64,175097.0
2013-10-03 09:30:00,NYSE:DOC,12.56,12.56,12.24,12.41,93234.0
2013-10-04 09:30:00,NYSE:DOC,12.38,12.67,12.38,12.49,46531.0
2013-10-07 09:30:00,NYSE:DOC,12.42,12.6,12.13,12.49,55680.0
2013-10-08 09:30:00,NYSE:DOC,12.51,12.51,12.23,12.31,66456.0
2013-10-09 09:30:00,NYSE:DOC,12.37,12.6,12.37,12.48,87606.0
2013-10-10 09:30:00,NYSE:DOC,12.59,12.9,12.41,12.76,80175.0
2013-10-11 09:30:00,NYSE:DOC,12.75,12.86,12.43,12.76,87676.0
2013-10-14 09:30:00,NYSE:DOC,12.7,13.0,12.7,12.85,100403.0
2013-10-15 09:30:00,NYSE:DOC,12.85,12.93,12.76,12.88,82267.0
2013-10-16 09:30:00,NYSE:DOC,12.73,12.8799,12.65,12.81,73626.0
