datetime,symbol,open,high,low,close,volume
1993-04-28 09:30:00,NYSE:RCL,9.125,9.375,9.0,9.125,7810200.0
1993-04-29 09:30:00,NYSE:RCL,9.125,9.3125,9.125,9.3125,2118800.0
1993-04-30 09:30:00,NYSE:RCL,9.375,9.375,9.125,9.1875,536800.0
1993-05-03 09:30:00,NYSE:RCL,9.125,9.1875,9.0625,9.1875,509600.0
1993-05-04 09:30:00,NYSE:RCL,9.1875,9.1875,8.9375,9.0625,787400.0
1993-05-05 09:30:00,NYSE:RCL,9.0,9.0625,8.875,8.875,747200.0
1993-05-06 09:30:00,NYSE:RCL,8.9375,9.0,8.8125,8.8125,392800.0
1993-05-07 09:30:00,NYSE:RCL,8.875,8.9375,8.8125,8.875,180000.0
1993-05-10 09:30:00,NYSE:RCL,8.9375,9.0625,8.875,8.875,269600.0
1993-05-11 09:30:00,NYSE:RCL,8.9375,8.9375,8.875,8.9375,109400.0
1993-05-12 09:30:00,NYSE:RCL,8.875,8.875,8.6875,8.8125,110800.0
1993-05-13 09:30:00,NYSE:RCL,8.8125,8.8125,8.75,8.75,171000.0
1993-05-14 09:30:00,NYSE:RCL,8.75,8.875,8.75,8.75,166800.0
1993-05-17 09:30:00,NYSE:RCL,8.75,8.75,8.5625,8.625,132000.0
1993-05-18 09:30:00,NYSE:RCL,8.625,8.625,8.0,8.25,534400.0
1993-05-19 09:30:00,NYSE:RCL,8.375,8.5625,8.375,8.4375,203600.0
1993-05-20 09:30:00,NYSE:RCL,8.3125,8.375,7.9375,8.125,1189000.0
1993-05-21 09:30:00,NYSE:RCL,8.1875,8.25,8.0,8.1875,475600.0
1993-05-24 09:30:00,NYSE:RCL,8.25,8.25,8.0,8.125,719200.0
1993-05-25 09:30:00,NYSE:RCL,8.0,8.0625,7.8125,7.9375,326600.0
1993-05-26 09:30:00,NYSE:RCL,8.0,8.3125,8.0,8.25,209200.0
1993-05-27 09:30:00,NYSE:RCL,8.375,8.5625,8.25,8.5,307800.0
1993-05-28 09:30:00,NYSE:RCL,8.625,8.8125,8.4375,8.6875,986400.0
1993-06-01 09:30:00,NYSE:RCL,8.75,8.75,8.4375,8.5,116800.0
1993-06-02 09:30:00,NYSE:RCL,8.5,8.6875,8.4375,8.6875,205200.0
1993-06-03 09:30:00,NYSE:RCL,8.6875,8.6875,8.5,8.5,92000.0
1993-06-04 09:30:00,NYSE:RCL,8.5625,8.625,8.5,8.5625,118200.0
1993-06-07 09:30:00,NYSE:RCL,8.5,8.6875,8.5,8.625,60000.0
1993-06-08 09:30:00,NYSE:RCL,8.625,8.625,8.5,8.5625,298200.0
1993-06-09 09:30:00,NYSE:RCL,8.5625,8.5625,8.4375,8.4375,27400.0
1993-06-10 09:30:00,NYSE:RCL,8.4375,8.625,8.4375,8.5625,153600.0
1993-06-11 09:30:00,NYSE:RCL,8.6875,8.8125,8.5625,8.8125,84200.0
1993-06-14 09:30:00,NYSE:RCL,8.9375,9.0,8.75,8.9375,434000.0
1993-06-15 09:30:00,NYSE:RCL,8.875,9.125,8.8125,8.875,169600.0
1993-06-16 09:30:00,NYSE:RCL,8.875,9.0625,8.875,8.9375,288200.0
1993-06-17 09:30:00,NYSE:RCL,9.0,9.0,8.8125,8.9375,165400.0
1993-06-18 09:30:00,NYSE:RCL,8.9375,9.0,8.8125,8.875,89400.0
1993-06-21 09:30:00,NYSE:RCL,8.8125,8.9375,8.8125,8.875,34200.0
1993-06-22 09:30:00,NYSE:RCL,8.9375,9.0625,8.8125,8.875,143000.0
1993-06-23 09:30:00,NYSE:RCL,8.875,9.0,8.75,8.75,23600.0
1993-06-24 09:30:00,NYSE:RCL,8.75,9.0,8.75,8.8125,58200.0
1993-06-25 09:30:00,NYSE:RCL,8.8125,9.25,8.8125,9.1875,370000.0
1993-06-28 09:30:00,NYSE:RCL,9.1875,9.625,9.0625,9.5625,135200.0
1993-06-29 09:30:00,NYSE:RCL,9.75,9.75,9.4375,9.5,575600.0
1993-06-30 09:30:00,NYSE:RCL,9.5,9.5,9.375,9.5,132000.0
1993-07-01 09:30:00,NYSE:RCL,9.5,9.625,9.4375,9.625,120800.0
1993-07-02 09:30:00,NYSE:RCL,9.625,9.75,9.5,9.5,239400.0
1993-07-06 09:30:00,NYSE:RCL,9.5,9.625,9.3125,9.3125,87200.0
1993-07-07 09:30:00,NYSE:RCL,9.375,9.375,9.1875,9.25,74400.0
1993-07-08 09:30:00,NYSE:RCL,9.3125,9.5625,9.25,9.5,104000.0
1993-07-09 09:30:00,NYSE:RCL,9.5,9.5625,9.4375,9.5,302600.0
1993-07-12 09:30:00,NYSE:RCL,9.5625,9.5625,9.4375,9.5,98200.0
1993-07-13 09:30:00,NYSE:RCL,9.5,9.5625,9.4375,9.5,212400.0
1993-07-14 09:30:00,NYSE:RCL,9.5,9.75,9.5,9.75,153200.0
1993-07-15 09:30:00,NYSE:RCL,9.75,9.75,9.6875,9.75,133800.0
1993-07-16 09:30:00,NYSE:RCL,9.75,9.75,9.625,9.75,126000.0
1993-07-19 09:30:00,NYSE:RCL,9.6875,9.8125,9.6875,9.75,244800.0
1993-07-20 09:30:00,NYSE:RCL,9.75,9.75,9.6875,9.75,111000.0
1993-07-21 09:30:00,NYSE:RCL,9.8125,9.9375,9.75,9.9375,117400.0
1993-07-22 09:30:00,NYSE:RCL,9.9375,10.125,9.9375,10.0625,240600.0
1993-07-23 09:30:00,NYSE:RCL,10.0625,10.125,9.875,9.875,138200.0
1993-07-26 09:30:00,NYSE:RCL,9.875,10.0625,9.75,10.0625,236200.0
1993-07-27 09:30:00,NYSE:RCL,10.125,10.3125,10.125,10.25,259200.0
1993-07-28 09:30:00,NYSE:RCL,10.75,11.1875,10.6875,11.0625,583200.0
1993-07-29 09:30:00,NYSE:RCL,11.1875,11.6875,11.125,11.4375,344800.0
1993-07-30 09:30:00,NYSE:RCL,11.5,11.6875,11.4375,11.6875,217800.0
1993-08-02 09:30:00,NYSE:RCL,11.6875,11.875,11.625,11.625,511400.0
1993-08-03 09:30:00,NYSE:RCL,11.625,11.625,11.125,11.5,161000.0
1993-08-04 09:30:00,NYSE:RCL,11.375,11.875,11.375,11.8125,129200.0
1993-08-05 09:30:00,NYSE:RCL,11.875,12.3125,11.875,12.1875,270200.0
1993-08-06 09:30:00,NYSE:RCL,12.0625,12.125,11.875,11.9375,397600.0
1993-08-09 09:30:00,NYSE:RCL,11.9375,12.0625,11.875,12.0,148200.0
1993-08-10 09:30:00,NYSE:RCL,12.0,12.0,11.625,11.6875,104000.0
1993-08-11 09:30:00,NYSE:RCL,11.6875,11.875,11.6875,11.75,77400.0
1993-08-12 09:30:00,NYSE:RCL,11.75,11.75,11.4375,11.75,64000.0
