datetime,symbol,open,high,low,close,volume
2024-03-26 09:30:00,NYSE:SOLV,91.05,96.05,79.1,80.0,353582.0
2024-03-27 09:30:00,NYSE:SOLV,80.0,80.0,74.18,75.0,454568.0
2024-03-28 09:30:00,NYSE:SOLV,78.0,78.0,69.0,69.55,2869643.0
2024-04-01 09:30:00,NYSE:SOLV,69.15,72.4,65.0,69.1,14094855.0
2024-04-02 09:30:00,NYSE:SOLV,67.67,68.59,64.4653,66.9,9446891.0
2024-04-03 09:30:00,NYSE:SOLV,65.53,67.77,63.86,63.89,5177150.0
2024-04-04 09:30:00,NYSE:SOLV,63.05,68.165,62.33,67.0,5239733.0
2024-04-05 09:30:00,NYSE:SOLV,65.97,70.15,65.175,70.06,4216625.0
2024-04-08 09:30:00,NYSE:SOLV,70.06,71.655,66.25,67.01,4467678.0
2024-04-09 09:30:00,NYSE:SOLV,65.48,68.0,65.01,65.52,2894692.0
2024-04-10 09:30:00,NYSE:SOLV,64.68,64.93,63.59,63.89,2114791.0
2024-04-11 09:30:00,NYSE:SOLV,63.57,64.3,62.3,63.17,2396618.0
2024-04-12 09:30:00,NYSE:SOLV,62.5,63.25,61.87,62.75,1795364.0
2024-04-15 09:30:00,NYSE:SOLV,62.1,63.79,61.56,61.69,2043059.0
2024-04-16 09:30:00,NYSE:SOLV,62.0,62.99,61.6581,61.95,1583249.0
2024-04-17 09:30:00,NYSE:SOLV,61.82,62.67,61.5,61.75,1849789.0
2024-04-18 09:30:00,NYSE:SOLV,61.84,64.11,61.38,64.03,2070485.0
2024-04-19 09:30:00,NYSE:SOLV,63.58,64.06,61.9875,62.2,1469197.0
2024-04-22 09:30:00,NYSE:SOLV,62.25,62.76,61.825,62.07,1380397.0
2024-04-23 09:30:00,NYSE:SOLV,62.03,64.19,61.851,63.5,1505935.0
2024-04-24 09:30:00,NYSE:SOLV,62.85,64.175,62.78,63.54,1055100.0
2024-04-25 09:30:00,NYSE:SOLV,62.75,63.067,60.72,61.83,2938475.0
2024-04-26 09:30:00,NYSE:SOLV,61.46,64.69,61.32,64.43,1641165.0
2024-04-29 09:30:00,NYSE:SOLV,63.49,66.67,63.0402,65.91,2163617.0
2024-04-30 09:30:00,NYSE:SOLV,65.21,65.86,63.75,65.01,2132558.0
2024-05-01 09:30:00,NYSE:SOLV,64.95,66.85,64.285,65.15,1612395.0
2024-05-02 09:30:00,NYSE:SOLV,65.0,66.23,64.7,65.14,1697552.0
2024-05-03 09:30:00,NYSE:SOLV,65.43,65.56,63.8,64.65,1724999.0
2024-05-06 09:30:00,NYSE:SOLV,64.7,65.11,64.3,64.69,1200293.0
2024-05-07 09:30:00,NYSE:SOLV,64.79,65.895,64.46,65.56,2270340.0
2024-05-08 09:30:00,NYSE:SOLV,65.23,66.965,65.15,66.43,1910630.0
2024-05-09 09:30:00,NYSE:SOLV,65.52,67.5,63.489,64.83,3088693.0
2024-05-10 09:30:00,NYSE:SOLV,63.8,64.81,63.03,63.74,1916241.0
2024-05-13 09:30:00,NYSE:SOLV,64.0,64.435,63.1166,63.14,1510912.0
2024-05-14 09:30:00,NYSE:SOLV,63.61,65.4012,63.46,65.1,1627518.0
2024-05-15 09:30:00,NYSE:SOLV,64.83,65.18,62.23,62.44,2812481.0
2024-05-16 09:30:00,NYSE:SOLV,62.0,62.03,60.57,61.56,2653989.0
2024-05-17 09:30:00,NYSE:SOLV,61.8,62.42,61.0,62.38,1711108.0
2024-05-20 09:30:00,NYSE:SOLV,62.46,62.82,61.85,62.03,1459022.0
2024-05-21 09:30:00,NYSE:SOLV,61.8,62.25,61.14,61.22,1319804.0
2024-05-22 09:30:00,NYSE:SOLV,61.07,62.24,60.92,61.89,1403793.0
2024-05-23 09:30:00,NYSE:SOLV,61.28,61.6,59.885,59.93,1733174.0
