datetime,symbol,open,high,low,close,volume
1973-06-01 09:30:00,NASDAQ:IXIC,102.3,102.3,102.3,102.3,0.0
1973-06-04 09:30:00,NASDAQ:IXIC,100.77,100.77,100.77,100.77,0.0
1973-06-05 09:30:00,NASDAQ:IXIC,101.71,101.71,101.71,101.71,0.0
1973-06-06 09:30:00,NASDAQ:IXIC,101.7,101.7,101.7,101.7,0.0
1973-06-07 09:30:00,NASDAQ:IXIC,102.57,102.57,102.57,102.57,0.0
1973-06-08 09:30:00,NASDAQ:IXIC,103.72,103.72,103.72,103.72,0.0
1973-06-11 09:30:00,NASDAQ:IXIC,103.04,103.04,103.04,103.04,0.0
1973-06-12 09:30:00,NASDAQ:IXIC,104.79,104.79,104.79,104.79,0.0
1973-06-13 09:30:00,NASDAQ:IXIC,104.33,104.33,104.33,104.33,0.0
1973-06-14 09:30:00,NASDAQ:IXIC,103.56,103.56,103.56,103.56,0.0
1973-06-15 09:30:00,NASDAQ:IXIC,102.26,102.26,102.26,102.26,0.0
1973-06-18 09:30:00,NASDAQ:IXIC,100.77,100.77,100.77,100.77,0.0
1973-06-19 09:30:00,NASDAQ:IXIC,100.96,100.96,100.96,100.96,0.0
1973-06-20 09:30:00,NASDAQ:IXIC,101.19,101.19,101.19,101.19,0.0
1973-06-21 09:30:00,NASDAQ:IXIC,100.4,100.4,100.4,100.4,0.0
1973-06-22 09:30:00,NASDAQ:IXIC,100.99,100.99,100.99,100.99,0.0
1973-06-25 09:30:00,NASDAQ:IXIC,99.43,99.43,99.43,99.43,0.0
1973-06-26 09:30:00,NASDAQ:IXIC,99.96,99.96,99.96,99.96,0.0
1973-06-27 09:30:00,NASDAQ:IXIC,100.22,100.22,100.22,100.22,0.0
1973-06-28 09:30:00,NASDAQ:IXIC,101.16,101.16,101.16,101.16,0.0
1973-06-29 09:30:00,NASDAQ:IXIC,100.98,100.98,100.98,100.98,0.0
1973-07-02 09:30:00,NASDAQ:IXIC,100.15,100.15,100.15,100.15,0.0
1973-07-03 09:30:00,NASDAQ:IXIC,99.45,99.45,99.45,99.45,0.0
1973-07-05 09:30:00,NASDAQ:IXIC,99.39,99.39,99.39,99.39,0.0
1973-07-06 09:30:00,NASDAQ:IXIC,99.48,99.48,99.48,99.48,0.0
1973-07-09 09:30:00,NASDAQ:IXIC,100.01,100.01,100.01,100.01,0.0
1973-07-10 09:30:00,NASDAQ:IXIC,101.18,101.18,101.18,101.18,0.0
1973-07-11 09:30:00,NASDAQ:IXIC,102.69,102.69,102.69,102.69,0.0
1973-07-12 09:30:00,NASDAQ:IXIC,103.17,103.17,103.17,103.17,0.0
1973-07-13 09:30:00,NASDAQ:IXIC,103.03,103.03,103.03,103.03,0.0
1973-07-16 09:30:00,NASDAQ:IXIC,103.97,103.97,103.97,103.97,0.0
1973-07-17 09:30:00,NASDAQ:IXIC,104.64,104.64,104.64,104.64,0.0
1973-07-18 09:30:00,NASDAQ:IXIC,105.77,105.77,105.77,105.77,0.0
1973-07-19 09:30:00,NASDAQ:IXIC,106.52,106.52,106.52,106.52,0.0
1973-07-20 09:30:00,NASDAQ:IXIC,107.68,107.68,107.68,107.68,0.0
1973-07-23 09:30:00,NASDAQ:IXIC,107.75,107.75,107.75,107.75,0.0
1973-07-24 09:30:00,NASDAQ:IXIC,108.29,108.29,108.29,108.29,0.0
1973-07-25 09:30:00,NASDAQ:IXIC,109.19,109.19,109.19,109.19,0.0
1973-07-26 09:30:00,NASDAQ:IXIC,109.17,109.17,109.17,109.17,0.0
1973-07-27 09:30:00,NASDAQ:IXIC,109.36,109.36,109.36,109.36,0.0
1973-07-30 09:30:00,NASDAQ:IXIC,108.88,108.88,108.88,108.88,0.0
