datetime,symbol,open,high,low,close,volume
2002-12-11 09:30:00,NASDAQ:STX,11.5,12.0,11.25,11.5,36719904.0
2002-12-12 09:30:00,NASDAQ:STX,11.5,11.59,11.02,11.18,9195602.0
2002-12-13 09:30:00,NASDAQ:STX,11.1,11.5,10.95,11.42,7739398.0
2002-12-16 09:30:00,NASDAQ:STX,11.32,11.62,11.13,11.61,3836400.0
2002-12-17 09:30:00,NASDAQ:STX,11.6,11.78,11.45,11.5,2729900.0
2002-12-18 09:30:00,NASDAQ:STX,11.42,11.43,11.13,11.2,2152800.0
2002-12-19 09:30:00,NASDAQ:STX,11.15,11.2,10.71,10.76,6450801.0
2002-12-20 09:30:00,NASDAQ:STX,10.85,10.94,10.56,10.81,2930900.0
2002-12-23 09:30:00,NASDAQ:STX,10.71,10.71,10.2,10.4,3455900.0
2002-12-24 09:30:00,NASDAQ:STX,10.4,10.45,10.0,10.24,3302500.0
2002-12-26 09:30:00,NASDAQ:STX,10.05,10.2,10.0,10.03,2019200.0
2002-12-27 09:30:00,NASDAQ:STX,10.0,10.13,9.86,10.13,1639400.0
2002-12-30 09:30:00,NASDAQ:STX,10.22,10.55,10.0,10.47,2742800.0
2002-12-31 09:30:00,NASDAQ:STX,10.3,10.96,10.3,10.73,3730800.0
2003-01-02 09:30:00,NASDAQ:STX,10.75,10.76,10.25,10.5,3473000.0
2003-01-03 09:30:00,NASDAQ:STX,10.5,10.75,10.33,10.75,1716600.0
2003-01-06 09:30:00,NASDAQ:STX,10.9,11.57,10.85,11.43,4041400.0
2003-01-07 09:30:00,NASDAQ:STX,11.5,12.25,11.4,12.25,6823500.0
2003-01-08 09:30:00,NASDAQ:STX,12.05,12.24,11.95,12.2,4623102.0
2003-01-09 09:30:00,NASDAQ:STX,12.3,12.95,12.25,12.6,9601000.0
2003-01-10 09:30:00,NASDAQ:STX,11.5,11.95,10.7,11.1,7554699.0
2003-01-13 09:30:00,NASDAQ:STX,11.15,11.28,10.15,10.23,2834700.0
2003-01-14 09:30:00,NASDAQ:STX,10.23,10.35,10.0,10.25,1629200.0
2003-01-15 09:30:00,NASDAQ:STX,10.36,10.88,10.19,10.77,2588100.0
2003-01-16 09:30:00,NASDAQ:STX,10.98,11.1,10.78,11.01,1443400.0
2003-01-17 09:30:00,NASDAQ:STX,10.98,11.0,10.4,10.8,2000000.0
2003-01-21 09:30:00,NASDAQ:STX,10.9,10.98,10.21,10.24,1165700.0
2003-01-22 09:30:00,NASDAQ:STX,10.34,10.34,9.3,9.52,3488500.0
2003-01-23 09:30:00,NASDAQ:STX,9.75,10.15,9.61,10.0,2498400.0
2003-01-24 09:30:00,NASDAQ:STX,10.17,10.43,9.8,9.95,2772100.0
2003-01-27 09:30:00,NASDAQ:STX,9.8,9.9,9.32,9.35,1150600.0
2003-01-28 09:30:00,NASDAQ:STX,9.43,9.71,9.4,9.4,1267000.0
2003-01-29 09:30:00,NASDAQ:STX,9.42,9.92,9.4,9.73,1174400.0
2003-01-30 09:30:00,NASDAQ:STX,9.79,9.89,9.4,9.4,720700.0
2003-01-31 09:30:00,NASDAQ:STX,9.3,9.34,8.99,9.18,1402500.0
2003-02-03 09:30:00,NASDAQ:STX,9.23,9.45,9.16,9.17,1002400.0
2003-02-04 09:30:00,NASDAQ:STX,9.18,9.18,8.95,9.05,1087700.0
2003-02-05 09:30:00,NASDAQ:STX,9.12,9.21,8.98,9.05,1233500.0
2003-02-06 09:30:00,NASDAQ:STX,9.1,9.34,9.03,9.05,923500.0
2003-02-07 09:30:00,NASDAQ:STX,9.15,9.17,8.96,9.0,1069500.0
2003-02-10 09:30:00,NASDAQ:STX,8.75,8.75,7.78,8.7,10046398.0
2003-02-11 09:30:00,NASDAQ:STX,8.7,8.93,8.23,8.93,2238900.0
2003-02-12 09:30:00,NASDAQ:STX,8.95,8.95,8.18,8.34,1726000.0
2003-02-13 09:30:00,NASDAQ:STX,8.35,8.45,8.0,8.06,2111000.0
2003-02-14 09:30:00,NASDAQ:STX,8.06,8.4,8.06,8.4,881000.0
2003-02-18 09:30:00,NASDAQ:STX,8.4,8.74,8.39,8.74,2049100.0
2003-02-19 09:30:00,NASDAQ:STX,8.81,9.0,8.74,8.99,1493800.0
2003-02-20 09:30:00,NASDAQ:STX,8.89,9.15,8.87,9.01,760000.0
2003-02-21 09:30:00,NASDAQ:STX,9.03,9.36,9.03,9.2,1519300.0
2003-02-24 09:30:00,NASDAQ:STX,9.25,9.4,8.88,9.0,1055600.0
2003-02-25 09:30:00,NASDAQ:STX,9.0,9.75,8.97,9.68,3049400.0
2003-02-26 09:30:00,NASDAQ:STX,9.65,9.74,9.42,9.52,782300.0
2003-02-27 09:30:00,NASDAQ:STX,9.42,9.69,9.32,9.45,387000.0
2003-02-28 09:30:00,NASDAQ:STX,9.5,9.5,9.18,9.27,820200.0
2003-03-03 09:30:00,NASDAQ:STX,9.25,9.52,9.22,9.3,575800.0
2003-03-04 09:30:00,NASDAQ:STX,9.33,9.39,9.2,9.27,517600.0
2003-03-05 09:30:00,NASDAQ:STX,9.23,9.42,9.14,9.29,1017700.0
2003-03-06 09:30:00,NASDAQ:STX,9.19,9.75,9.19,9.58,1481100.0
2003-03-07 09:30:00,NASDAQ:STX,9.48,9.84,9.39,9.7,898800.0
2003-03-10 10:30:00,NASDAQ:STX,9.45,9.76,9.45,9.76,1837100.0
2003-03-11 10:30:00,NASDAQ:STX,9.7,9.75,9.45,9.55,1960400.0
2003-03-12 10:30:00,NASDAQ:STX,9.35,9.4,8.95,9.03,4556398.0
2003-03-13 10:30:00,NASDAQ:STX,9.03,9.15,8.88,9.05,4223602.0
2003-03-14 10:30:00,NASDAQ:STX,9.02,9.1,8.75,8.96,2406700.0
2003-03-17 10:30:00,NASDAQ:STX,8.96,9.43,8.85,9.35,994400.0
2003-03-18 10:30:00,NASDAQ:STX,9.35,9.56,9.35,9.54,782500.0
2003-03-19 10:30:00,NASDAQ:STX,9.45,9.51,9.18,9.34,874000.0
2003-03-20 10:30:00,NASDAQ:STX,9.25,9.45,9.2,9.44,1609600.0
2003-03-21 10:30:00,NASDAQ:STX,9.5,9.99,9.4,9.8,2559900.0
2003-03-24 10:30:00,NASDAQ:STX,9.45,9.76,9.43,9.55,1945600.0
2003-03-25 10:30:00,NASDAQ:STX,9.5,10.22,9.45,10.0,4662199.0
2003-03-26 10:30:00,NASDAQ:STX,9.85,10.19,9.75,10.1,2908700.0
2003-03-27 10:30:00,NASDAQ:STX,9.95,10.89,9.94,10.88,4410699.0
2003-03-28 10:30:00,NASDAQ:STX,10.69,10.8,10.35,10.35,2628000.0
2003-03-31 10:30:00,NASDAQ:STX,10.0,10.44,9.98,10.32,1127600.0
2003-04-01 10:30:00,NASDAQ:STX,10.42,10.68,10.33,10.57,1558200.0
2003-04-02 10:30:00,NASDAQ:STX,10.75,10.95,10.56,10.74,4117898.0
2003-04-03 10:30:00,NASDAQ:STX,10.84,10.85,10.41,10.72,1517100.0
2003-04-04 10:30:00,NASDAQ:STX,10.62,10.63,10.15,10.27,4553398.0
2003-04-07 09:30:00,NASDAQ:STX,10.3,10.48,10.2,10.31,3600200.0
2003-04-08 09:30:00,NASDAQ:STX,10.35,10.66,10.25,10.52,2169200.0
2003-04-09 09:30:00,NASDAQ:STX,10.62,10.8,10.5,10.72,1889300.0
2003-04-10 09:30:00,NASDAQ:STX,10.72,10.9,10.56,10.83,1988500.0
2003-04-11 09:30:00,NASDAQ:STX,10.85,10.95,10.82,10.95,1500200.0
2003-04-14 09:30:00,NASDAQ:STX,10.9,11.05,10.66,11.05,991300.0
2003-04-15 09:30:00,NASDAQ:STX,11.0,11.45,10.9,11.45,2482400.0
2003-04-16 09:30:00,NASDAQ:STX,11.6,12.35,11.6,11.9,8202398.0
2003-04-17 09:30:00,NASDAQ:STX,11.87,12.25,11.8,12.25,2437600.0
2003-04-21 09:30:00,NASDAQ:STX,12.1,12.3,12.0,12.26,1866600.0
2003-04-22 09:30:00,NASDAQ:STX,12.19,12.45,12.0,12.35,1270200.0
2003-04-23 09:30:00,NASDAQ:STX,12.35,12.35,11.45,11.75,2737800.0
2003-04-24 09:30:00,NASDAQ:STX,11.65,11.73,11.46,11.5,1305100.0
2003-04-25 09:30:00,NASDAQ:STX,11.5,11.5,11.1,11.36,1543400.0
2003-04-28 09:30:00,NASDAQ:STX,11.33,11.7,11.3,11.48,1635800.0
2003-04-29 09:30:00,NASDAQ:STX,11.6,12.12,11.6,12.04,1518400.0
2003-04-30 09:30:00,NASDAQ:STX,11.91,12.09,11.58,12.09,2097900.0
2003-05-01 09:30:00,NASDAQ:STX,12.03,12.3,11.95,12.25,1312200.0
2003-05-02 09:30:00,NASDAQ:STX,12.18,12.32,11.85,12.29,1900900.0
2003-05-05 09:30:00,NASDAQ:STX,12.23,12.58,12.2,12.54,2176000.0
2003-05-06 09:30:00,NASDAQ:STX,12.25,12.54,12.25,12.5,758600.0
2003-05-07 09:30:00,NASDAQ:STX,12.42,12.8,12.4,12.7,990300.0
2003-05-08 09:30:00,NASDAQ:STX,12.6,12.75,12.5,12.72,815300.0
2003-05-09 09:30:00,NASDAQ:STX,12.75,12.77,12.45,12.59,1157400.0
2003-05-12 09:30:00,NASDAQ:STX,12.5,13.45,12.25,13.36,3123000.0
2003-05-13 09:30:00,NASDAQ:STX,13.3,14.22,13.25,13.93,4718699.0
2003-05-14 09:30:00,NASDAQ:STX,13.97,14.0,13.36,13.65,1354100.0
2003-05-15 09:30:00,NASDAQ:STX,13.65,13.75,13.16,13.4,797300.0
2003-05-16 09:30:00,NASDAQ:STX,13.33,13.55,12.83,13.55,1493800.0
2003-05-19 09:30:00,NASDAQ:STX,13.45,13.58,13.3,13.35,1102300.0
2003-05-20 09:30:00,NASDAQ:STX,13.3,13.35,12.88,13.1,2152900.0
2003-05-21 09:30:00,NASDAQ:STX,13.0,13.57,13.0,13.28,930600.0
2003-05-22 09:30:00,NASDAQ:STX,13.18,13.49,13.15,13.43,1116600.0
2003-05-23 09:30:00,NASDAQ:STX,13.43,13.64,13.3,13.32,1287900.0
2003-05-27 09:30:00,NASDAQ:STX,13.42,14.04,13.33,13.95,2212300.0
2003-05-28 09:30:00,NASDAQ:STX,13.85,15.01,13.78,14.84,3516100.0
2003-05-29 09:30:00,NASDAQ:STX,15.3,15.9,15.11,15.15,5121898.0
2003-05-30 09:30:00,NASDAQ:STX,14.7,15.46,14.6,15.15,2475700.0
2003-06-02 09:30:00,NASDAQ:STX,15.5,15.75,15.48,15.54,1695100.0
2003-06-03 09:30:00,NASDAQ:STX,15.0,15.2,14.6,14.86,2191600.0
2003-06-04 09:30:00,NASDAQ:STX,14.96,15.14,14.59,14.97,2222300.0
2003-06-05 09:30:00,NASDAQ:STX,14.97,16.03999,14.76,15.97,2316800.0
2003-06-06 09:30:00,NASDAQ:STX,15.97,16.53,15.3,15.4,3287000.0
2003-06-09 09:30:00,NASDAQ:STX,14.5,15.38,14.5,15.35,4232801.0
2003-06-10 09:30:00,NASDAQ:STX,15.38,15.6,14.85,15.02,4167602.0
2003-06-11 09:30:00,NASDAQ:STX,14.92,15.4,14.86,15.25,2929900.0
2003-06-12 09:30:00,NASDAQ:STX,15.18,15.6,15.0,15.6,2549600.0
2003-06-13 09:30:00,NASDAQ:STX,15.64,16.0,15.4,15.96,2168700.0
2003-06-16 09:30:00,NASDAQ:STX,16.0,17.10001,15.78,17.0,3809400.0
2003-06-17 09:30:00,NASDAQ:STX,17.35001,18.0,17.25,17.25,5949602.0
2003-06-18 09:30:00,NASDAQ:STX,17.25,17.62,17.10001,17.62,2986600.0
2003-06-19 09:30:00,NASDAQ:STX,17.55,17.89999,17.23,17.34,4029900.0
2003-06-20 09:30:00,NASDAQ:STX,17.39,17.62,17.16,17.31,1869100.0
2003-06-23 09:30:00,NASDAQ:STX,17.14999,17.3,16.62,16.97,1968000.0
2003-06-24 09:30:00,NASDAQ:STX,16.92999,17.03999,16.59,16.85001,1435300.0
2003-06-25 09:30:00,NASDAQ:STX,16.75,17.45,16.75,17.24001,1392400.0
2003-06-26 09:30:00,NASDAQ:STX,17.14999,18.39,17.14,18.38,3683100.0
2003-06-27 09:30:00,NASDAQ:STX,18.39,18.49001,18.02,18.17999,2617700.0
2003-06-30 09:30:00,NASDAQ:STX,17.75,18.14999,17.60001,17.64999,3030600.0
2003-07-01 09:30:00,NASDAQ:STX,17.64999,18.19,17.45,18.19,2752100.0
2003-07-02 09:30:00,NASDAQ:STX,18.19,19.99001,18.19,19.62,4669602.0
2003-07-03 09:30:00,NASDAQ:STX,19.39999,19.63,19.0,19.5,2010300.0
2003-07-07 09:30:00,NASDAQ:STX,19.89999,20.47,19.75999,20.35001,2287100.0
2003-07-08 09:30:00,NASDAQ:STX,20.34,20.5,20.02,20.44,2139300.0
2003-07-09 09:30:00,NASDAQ:STX,20.38,20.39,19.95,20.23,3511700.0
2003-07-10 09:30:00,NASDAQ:STX,20.05,20.14999,19.62,19.8,2334100.0
2003-07-11 09:30:00,NASDAQ:STX,19.82001,20.35001,19.82001,20.35001,772300.0
2003-07-14 09:30:00,NASDAQ:STX,20.5,21.2,20.5,21.0,2268000.0
2003-07-15 09:30:00,NASDAQ:STX,21.14999,21.5,20.39999,20.64999,3263400.0
2003-07-16 09:30:00,NASDAQ:STX,21.19,22.25999,20.78999,21.56,6581500.0
2003-07-17 09:30:00,NASDAQ:STX,21.35001,21.45,20.92999,21.02,3202400.0
2003-07-18 09:30:00,NASDAQ:STX,20.60001,20.7,20.0,20.03,5181801.0
2003-07-21 09:30:00,NASDAQ:STX,19.7,19.8,19.35001,19.75,3294100.0
2003-07-22 09:30:00,NASDAQ:STX,19.85001,20.0,19.77,19.92,3103400.0
2003-07-23 09:30:00,NASDAQ:STX,20.0,20.0,19.35001,19.5,5494301.0
2003-07-24 09:30:00,NASDAQ:STX,19.5,19.55,18.91,18.92999,8415898.0
2003-07-25 09:30:00,NASDAQ:STX,18.75,19.07001,18.67,18.89,20462400.0
2003-07-28 09:30:00,NASDAQ:STX,19.02,20.48,19.02,20.48,6768602.0
2003-07-29 09:30:00,NASDAQ:STX,20.25,20.67999,19.87,20.5,3675800.0
2003-07-30 09:30:00,NASDAQ:STX,20.5,20.86,20.21001,20.86,2898300.0
2003-07-31 09:30:00,NASDAQ:STX,20.89999,21.92999,20.72,21.8,4230898.0
2003-08-01 09:30:00,NASDAQ:STX,21.78,21.78999,21.05,21.17999,2013700.0
2003-08-04 09:30:00,NASDAQ:STX,20.75,21.21001,20.13,21.05,3195700.0
2003-08-05 09:30:00,NASDAQ:STX,21.02,21.5,20.89999,21.0,2491200.0
2003-08-06 09:30:00,NASDAQ:STX,21.00999,21.83,21.00999,21.64,3584700.0
2003-08-07 09:30:00,NASDAQ:STX,21.45,21.63,20.92,21.47,2566500.0
2003-08-08 09:30:00,NASDAQ:STX,21.47,21.86,21.25,21.8,2030700.0
2003-08-11 09:30:00,NASDAQ:STX,22.14999,22.7,22.0,22.17,3732800.0
2003-08-12 09:30:00,NASDAQ:STX,22.25,22.39999,21.72,22.3,1907800.0
2003-08-13 09:30:00,NASDAQ:STX,22.3,22.55,21.67999,21.7,2248700.0
2003-08-14 09:30:00,NASDAQ:STX,21.5,21.5,20.24001,20.7,9273500.0
2003-08-15 09:30:00,NASDAQ:STX,20.7,20.74001,20.35001,20.7,1899500.0
2003-08-18 09:30:00,NASDAQ:STX,20.82001,21.5,20.82001,21.45,3658900.0
2003-08-19 09:30:00,NASDAQ:STX,21.85001,22.10001,21.61,21.99001,2322500.0
2003-08-20 09:30:00,NASDAQ:STX,21.99001,22.14999,21.74001,21.78,1531100.0
2003-08-21 09:30:00,NASDAQ:STX,21.85001,22.35001,21.75999,22.07001,1904300.0
2003-08-22 09:30:00,NASDAQ:STX,23.39999,23.52,21.94,21.94,3989500.0
2003-08-25 09:30:00,NASDAQ:STX,22.03999,22.2,21.7,21.8,1633700.0
2003-08-26 09:30:00,NASDAQ:STX,21.8,22.08,21.2,22.00999,1522900.0
2003-08-27 09:30:00,NASDAQ:STX,21.94,23.85001,21.91,23.72,3276900.0
2003-08-28 09:30:00,NASDAQ:STX,23.89999,24.71001,23.56,23.75999,2760200.0
2003-08-29 09:30:00,NASDAQ:STX,23.60001,23.60001,22.85001,23.00999,2123300.0
2003-09-02 09:30:00,NASDAQ:STX,23.60001,24.78999,23.42,24.55,3023900.0
2003-09-03 09:30:00,NASDAQ:STX,24.71001,25.0,24.27,24.39999,2943500.0
2003-09-04 09:30:00,NASDAQ:STX,24.35001,24.95,24.05,24.60001,1593900.0
2003-09-05 09:30:00,NASDAQ:STX,24.48,24.8,23.89999,23.96001,2343300.0
2003-09-08 09:30:00,NASDAQ:STX,24.05,25.25,24.0,25.25,3119200.0
2003-09-09 09:30:00,NASDAQ:STX,25.25,25.25,24.58,25.16,2622500.0
2003-09-10 09:30:00,NASDAQ:STX,25.08,25.08,24.35001,24.78,3210800.0
2003-09-11 09:30:00,NASDAQ:STX,24.8,24.99001,23.64999,23.73,3693600.0
2003-09-12 09:30:00,NASDAQ:STX,23.5,23.64,23.03,23.45,1964800.0
2003-09-15 09:30:00,NASDAQ:STX,23.25,23.60001,23.03999,23.28999,1201500.0
2003-09-16 09:30:00,NASDAQ:STX,23.7,25.0,23.7,24.95,1996800.0
2003-09-17 09:30:00,NASDAQ:STX,24.8,25.74001,24.77,25.50999,2868600.0
2003-09-18 09:30:00,NASDAQ:STX,25.52,26.39999,25.05,26.28,2747700.0
2003-09-19 09:30:00,NASDAQ:STX,26.35001,27.25,26.25,26.81,3578500.0
2003-09-22 09:30:00,NASDAQ:STX,25.0,26.57001,25.0,26.49001,2723800.0
2003-09-23 09:30:00,NASDAQ:STX,27.17999,27.60001,26.99001,27.34,3345000.0
2003-09-24 09:30:00,NASDAQ:STX,27.38,27.91,26.48,26.48,3289000.0
2003-09-25 09:30:00,NASDAQ:STX,26.64999,27.25,25.7,25.89999,2546000.0
2003-09-26 09:30:00,NASDAQ:STX,26.0,26.8,25.56,25.95,2629900.0
2003-09-29 09:30:00,NASDAQ:STX,26.05,27.60001,26.05,27.16,3068700.0
2003-09-30 09:30:00,NASDAQ:STX,27.16,27.8,26.59,27.2,2637100.0
2003-10-01 09:30:00,NASDAQ:STX,27.75,28.19,27.60001,28.10001,2794900.0
2003-10-02 09:30:00,NASDAQ:STX,28.25,28.3,27.48,27.92,2785400.0
2003-10-03 09:30:00,NASDAQ:STX,28.39,28.60001,27.64999,27.72,2627900.0
