datetime,symbol,open,high,low,close,volume
1995-06-16 09:30:00,NYSE:WAB,7.5,7.75,7.4375,7.5,6210000.0
1995-06-19 09:30:00,NYSE:WAB,7.5625,7.625,7.0625,7.1875,1528200.0
1995-06-20 09:30:00,NYSE:WAB,7.25,7.3125,7.1875,7.1875,863000.0
1995-06-21 09:30:00,NYSE:WAB,7.25,7.25,7.0,7.0625,629000.0
1995-06-22 09:30:00,NYSE:WAB,7.0625,7.5625,7.0,7.3125,546200.0
1995-06-23 09:30:00,NYSE:WAB,7.375,7.4375,7.25,7.3125,365000.0
1995-06-26 09:30:00,NYSE:WAB,7.3125,7.375,7.0,7.0625,515400.0
1995-06-27 09:30:00,NYSE:WAB,7.125,7.125,7.0,7.0,270800.0
1995-06-28 09:30:00,NYSE:WAB,7.0625,7.0625,7.0,7.0,500400.0
1995-06-29 09:30:00,NYSE:WAB,7.0,7.125,7.0,7.0,309200.0
1995-06-30 09:30:00,NYSE:WAB,7.0625,7.1875,7.0625,7.125,95000.0
1995-07-03 09:30:00,NYSE:WAB,7.0625,7.125,7.0625,7.0625,9200.0
1995-07-05 09:30:00,NYSE:WAB,7.125,7.125,7.0625,7.0625,75600.0
1995-07-06 09:30:00,NYSE:WAB,7.0625,7.125,7.0625,7.0625,81400.0
1995-07-07 09:30:00,NYSE:WAB,7.0625,7.625,7.0625,7.5625,475000.0
1995-07-10 09:30:00,NYSE:WAB,7.5,7.75,7.5,7.75,241400.0
1995-07-11 09:30:00,NYSE:WAB,7.75,8.5625,7.625,8.5,538600.0
1995-07-12 09:30:00,NYSE:WAB,8.5,9.0625,8.375,9.0,496200.0
1995-07-13 09:30:00,NYSE:WAB,9.0,9.0,8.8125,8.9375,384000.0
1995-07-14 09:30:00,NYSE:WAB,8.9375,8.9375,8.75,8.9375,102200.0
1995-07-17 09:30:00,NYSE:WAB,9.0625,9.5,9.0625,9.4375,480200.0
1995-07-18 09:30:00,NYSE:WAB,9.4375,9.4375,9.0,9.0625,359200.0
1995-07-19 09:30:00,NYSE:WAB,9.0,9.0,8.8125,8.875,101600.0
1995-07-20 09:30:00,NYSE:WAB,8.75,8.75,8.4375,8.6875,119600.0
1995-07-21 09:30:00,NYSE:WAB,8.75,8.75,8.6875,8.6875,13000.0
1995-07-24 09:30:00,NYSE:WAB,8.6875,8.8125,8.5625,8.5625,112000.0
1995-07-25 09:30:00,NYSE:WAB,8.5625,8.8125,8.5625,8.75,201000.0
1995-07-26 09:30:00,NYSE:WAB,8.875,9.1875,8.875,9.125,287800.0
1995-07-27 09:30:00,NYSE:WAB,9.1875,9.375,9.1875,9.3125,101600.0
1995-07-28 09:30:00,NYSE:WAB,9.375,9.4375,9.3125,9.3125,100400.0
1995-07-31 09:30:00,NYSE:WAB,9.375,9.375,9.0625,9.25,60800.0
1995-08-01 09:30:00,NYSE:WAB,9.1875,9.1875,9.0,9.0625,57600.0
1995-08-02 09:30:00,NYSE:WAB,9.0,9.0,8.875,8.875,41000.0
1995-08-03 09:30:00,NYSE:WAB,8.8125,8.8125,8.75,8.75,12600.0
1995-08-04 09:30:00,NYSE:WAB,8.625,8.6875,8.5625,8.625,9000.0
1995-08-07 09:30:00,NYSE:WAB,8.5625,8.75,8.5625,8.6875,12200.0
1995-08-08 09:30:00,NYSE:WAB,8.625,8.6875,8.5625,8.5625,3200.0
1995-08-09 09:30:00,NYSE:WAB,8.4375,8.4375,8.1875,8.1875,24000.0
1995-08-10 09:30:00,NYSE:WAB,8.25,8.25,8.125,8.125,6800.0
