datetime,symbol,open,high,low,close,volume
2002-10-25 09:30:00,NASDAQ:WYNN,13.0,13.15,12.85,13.01,13965801.0
2002-10-28 10:30:00,NASDAQ:WYNN,13.01,13.05,12.963,13.01,5505898.0
2002-10-29 10:30:00,NASDAQ:WYNN,13.0,13.01,12.04,12.64,2235800.0
2002-10-30 10:30:00,NASDAQ:WYNN,12.61,12.62,12.13,12.5,905800.0
2002-10-31 10:30:00,NASDAQ:WYNN,12.56,13.02,12.5021,12.61,298900.0
2002-11-01 10:30:00,NASDAQ:WYNN,12.59,12.7,12.57,12.61,268800.0
2002-11-04 09:30:00,NASDAQ:WYNN,12.66,12.95,12.65,12.91,1307600.0
2002-11-05 09:30:00,NASDAQ:WYNN,12.919,13.24,12.89,13.02,2384700.0
2002-11-06 09:30:00,NASDAQ:WYNN,13.03,13.2,13.0,13.0,204300.0
2002-11-07 09:30:00,NASDAQ:WYNN,13.08,13.16,12.36,13.05,724200.0
2002-11-08 09:30:00,NASDAQ:WYNN,13.02,13.039,12.83,12.93,106500.0
2002-11-11 09:30:00,NASDAQ:WYNN,13.0,13.0,12.65,12.71,110500.0
2002-11-12 09:30:00,NASDAQ:WYNN,12.73,12.74,11.86,11.96,540700.0
2002-11-13 09:30:00,NASDAQ:WYNN,12.05,12.09,10.76,11.1,695600.0
2002-11-14 09:30:00,NASDAQ:WYNN,11.13,11.25,10.88,11.09,462800.0
2002-11-15 09:30:00,NASDAQ:WYNN,11.1,11.56,11.08,11.55,460700.0
2002-11-18 09:30:00,NASDAQ:WYNN,11.58,13.05,11.57,12.18,325400.0
2002-11-19 09:30:00,NASDAQ:WYNN,12.36,12.8,12.02,12.6,211596.0
2002-11-20 09:30:00,NASDAQ:WYNN,12.561,12.6,12.23,12.41,92725.0
2002-11-21 09:30:00,NASDAQ:WYNN,12.54,12.85,12.54,12.85,91300.0
2002-11-22 09:30:00,NASDAQ:WYNN,12.85,12.86,12.5,12.65,55300.0
2002-11-25 09:30:00,NASDAQ:WYNN,12.8,13.0,12.66,12.93,111000.0
2002-11-26 09:30:00,NASDAQ:WYNN,12.94,12.94,12.74,12.74,59300.0
2002-11-27 09:30:00,NASDAQ:WYNN,12.9,12.9,12.5,12.5,94300.0
2002-11-29 09:30:00,NASDAQ:WYNN,12.78,12.89,12.6,12.82,35400.0
2002-12-02 09:30:00,NASDAQ:WYNN,12.94,12.95,12.35,12.41,93600.0
2002-12-03 09:30:00,NASDAQ:WYNN,12.5,12.5,12.31,12.37,31100.0
2002-12-04 09:30:00,NASDAQ:WYNN,12.45,12.6,12.31,12.6,42300.0
2002-12-05 09:30:00,NASDAQ:WYNN,12.85,13.3,12.76,13.28,366100.0
2002-12-06 09:30:00,NASDAQ:WYNN,13.15,13.38,12.99,13.18,129300.0
2002-12-09 09:30:00,NASDAQ:WYNN,13.29,13.3,12.87,13.0,106900.0
2002-12-10 09:30:00,NASDAQ:WYNN,13.0,13.19,12.93,13.0,48300.0
2002-12-11 09:30:00,NASDAQ:WYNN,13.1,13.39,13.02,13.25,189700.0
2002-12-12 09:30:00,NASDAQ:WYNN,13.39,13.8,13.27,13.74,361400.0
2002-12-13 09:30:00,NASDAQ:WYNN,13.729,14.39,13.53,13.6,615664.0
2002-12-16 09:30:00,NASDAQ:WYNN,13.749,14.07,13.66,13.68,170900.0
2002-12-17 09:30:00,NASDAQ:WYNN,13.91,13.91,13.31,13.489,95100.0
2002-12-18 09:30:00,NASDAQ:WYNN,13.5,13.59,13.061,13.32,110800.0
2002-12-19 09:30:00,NASDAQ:WYNN,13.5,13.5,12.5,12.75,233735.0
2002-12-20 09:30:00,NASDAQ:WYNN,12.799,13.4,12.69,13.089,134900.0
2002-12-23 09:30:00,NASDAQ:WYNN,13.09,13.59,13.011,13.45,65365.0
2002-12-24 09:30:00,NASDAQ:WYNN,13.6,13.91,13.32,13.51,52300.0
2002-12-26 09:30:00,NASDAQ:WYNN,13.66,13.66,12.969,13.25,16300.0
2002-12-27 09:30:00,NASDAQ:WYNN,13.29,13.29,12.95,13.0,42500.0
2002-12-30 09:30:00,NASDAQ:WYNN,13.099,13.369,13.0,13.101,32700.0
2002-12-31 09:30:00,NASDAQ:WYNN,13.35,13.5,13.1,13.11,72000.0
2003-01-02 09:30:00,NASDAQ:WYNN,13.01,13.5,13.0,13.5,89700.0
2003-01-03 09:30:00,NASDAQ:WYNN,13.5,13.6,13.321,13.4,73200.0
2003-01-06 09:30:00,NASDAQ:WYNN,13.4,13.56,13.29,13.29,90700.0
2003-01-07 09:30:00,NASDAQ:WYNN,13.36,13.52,13.2,13.31,99400.0
2003-01-08 09:30:00,NASDAQ:WYNN,13.11,13.2,12.76,13.029,159100.0
2003-01-09 09:30:00,NASDAQ:WYNN,13.079,13.13,12.85,13.0,125900.0
2003-01-10 09:30:00,NASDAQ:WYNN,13.08,13.1,12.95,13.0,70500.0
2003-01-13 09:30:00,NASDAQ:WYNN,13.1,13.33,13.0,13.33,194700.0
2003-01-14 09:30:00,NASDAQ:WYNN,13.33,13.61,13.291,13.45,131300.0
2003-01-15 09:30:00,NASDAQ:WYNN,13.599,13.67,13.44,13.67,80300.0
2003-01-16 09:30:00,NASDAQ:WYNN,13.67,13.91,13.45,13.91,95505.0
2003-01-17 09:30:00,NASDAQ:WYNN,13.809,14.01,13.47,13.48,71300.0
2003-01-21 09:30:00,NASDAQ:WYNN,13.53,13.91,13.46,13.72,107749.0
2003-01-22 09:30:00,NASDAQ:WYNN,13.73,14.3,13.58,14.26,121599.0
2003-01-23 09:30:00,NASDAQ:WYNN,14.3,14.8,14.2,14.25,185700.0
2003-01-24 09:30:00,NASDAQ:WYNN,14.4,14.4,13.95,14.0,130500.0
2003-01-27 09:30:00,NASDAQ:WYNN,13.999,14.49,13.97,14.13,74000.0
2003-01-28 09:30:00,NASDAQ:WYNN,14.209,14.4,14.0,14.26,65750.0
2003-01-29 09:30:00,NASDAQ:WYNN,14.19,14.31,14.0,14.03,102800.0
